,1.8770,1.3429,1.7081,0,T-H,0.0000,0.0000,1.2782,1.1375,1.0231,16277.0000,160.0000,
,1.6586,1.5536,1.7207,0,T-H,0.0000,0.0000,1.1793,1.1267,1.0629,16277.0000,160.0000,
,1.6586,1.5536,1.7207,0,T-H,0.0000,0.0000,1.1793,1.1267,1.0629,16277.0000,160.0000,
,1.7369,1.7027,1.9061,0,T-H,0.0000,0.0000,1.2090,1.1917,1.1147,16267.0000,160.0000,
,1.7487,1.5164,1.8708,0,T-H,0.0000,0.0000,1.3263,1.2142,1.1729,16267.0000,160.0000,
,1.6092,1.6316,1.7467,0,T-H,0.0000,0.0000,1.2323,1.2691,1.1069,16267.0000,160.0000,
,1.5429,1.3886,1.6645,0,T-H,0.0000,0.0000,1.1343,1.1556,1.0732,16267.0000,160.0000,
,1.5429,1.3886,1.6645,0,T-H,0.0000,0.0000,1.1343,1.1556,1.0732,16267.0000,160.0000,
,1.5429,1.3886,1.7031,0,T-H,0.0000,0.0000,1.1343,1.1556,1.0902,16267.0000,160.0000,
,1.5816,1.2862,1.7968,0,T-H,0.0000,0.0000,1.2334,1.2293,1.1791,16267.0000,160.0000,
,1.7920,1.6506,1.8312,0,T-H,0.0000,0.0000,1.2334,1.1857,1.1754,16267.0000,160.0000,
,1.7920,1.6506,1.8312,0,T-H,0.0000,0.0000,1.2334,1.1857,1.1754,16267.0000,160.0000,
,1.7920,1.6865,1.7304,0,T-H,0.0000,0.0000,1.2831,1.1803,1.1138,16264.0000,160.0000,
,1.8281,1.6865,1.6848,0,T-H,0.0000,0.0000,1.2831,1.1803,1.0659,16264.0000,160.0000,
,1.9768,1.6193,1.6848,0,T-H,0.0000,0.0000,1.2788,1.2525,1.0659,16264.0000,160.0000,
,2.0038,1.9626,1.7255,0,T-H,0.0000,0.0000,1.3651,1.4071,1.0016,16264.0000,160.0000,
,2.0038,1.9626,1.7255,0,T-H,0.0000,0.0000,1.3651,1.4071,1.0016,16264.0000,160.0000,
,1.8731,1.8663,1.5804,0,T-H,0.0000,0.0000,1.3494,1.3369,0.9394,16263.0000,160.0000,
,1.8178,2.5635,1.7441,0,T-H,0.0000,0.0000,1.3629,1.5541,1.0048,16263.0000,160.0000,
,1.7519,2.8409,1.8028,0,T-H,0.0000,0.0000,1.3899,1.6371,1.0266,16263.0000,160.0000,
,1.4994,2.9460,1.9965,0,T-H,0.0000,0.0000,1.3320,1.6520,1.0503,16264.0000,160.0000,
,1.6195,3.2900,1.9425,0,T-H,0.0000,0.0000,1.3301,1.6610,1.0125,16264.0000,160.0000,
,1.5945,3.8114,1.7431,0,T-H,0.0000,0.0000,1.2298,1.9041,1.0179,16264.0000,160.0000,
,1.5945,3.8114,1.7431,0,T-H,0.0000,0.0000,1.2298,1.9041,1.0179,16264.0000,160.0000,
,1.3695,4.2176,1.6788,0,T-H,0.0000,0.0000,1.1617,2.0349,0.9881,16262.0000,160.0000,
,1.3695,4.2176,1.6912,0,T-H,0.0000,0.0000,1.1617,2.0349,1.0051,16262.0000,160.0000,
,1.4045,4.6070,1.7720,0,T-H,0.0000,0.0000,1.1445,2.4005,1.0413,16262.0000,160.0000,
,1.2881,5.3205,1.9258,0,T-H,0.0000,0.0000,1.1217,3.0869,1.1399,16266.0000,160.0000,
,1.2881,5.3205,1.9258,0,T-H,0.0000,0.0000,1.1217,3.0869,1.1399,16266.0000,160.0000,
,1.2001,5.3378,1.7627,0,T-H,0.0000,0.0000,1.0658,3.4202,1.1371,16266.0000,160.0000,
,1.1582,5.3104,1.7226,0,T-H,0.0000,0.0000,1.0613,3.7193,1.1625,16266.0000,160.0000,
,1.2927,5.3555,1.6696,0,T-H,0.0000,0.0000,1.0672,4.0532,1.1996,16266.0000,160.0000,
,1.2927,5.3555,1.6696,0,T-H,0.0000,0.0000,1.0672,4.0532,1.1996,16266.0000,160.0000,
,1.7732,5.6177,1.6882,0,T-H,0.0000,0.0000,1.1274,4.8159,1.2496,16264.0000,160.0000,
,2.0724,5.5947,1.9068,0,T-H,0.0000,0.0000,1.2440,5.3362,1.2814,16264.0000,160.0000,
,1.8458,5.4313,2.0455,0,T-H,0.0000,0.0000,1.2413,5.3362,1.2536,16264.0000,160.0000,
,1.8595,5.1840,2.1798,0,T-H,0.0000,0.0000,1.2568,5.2895,1.3215,16235.0000,160.0000,
,1.8595,5.1840,2.1798,0,T-H,0.0000,0.0000,1.2568,5.2895,1.3215,16235.0000,160.0000,
,1.8945,5.4013,1.9081,0,T-H,0.0000,0.0000,1.3138,5.3281,1.3080,16235.0000,160.0000,
,1.5479,4.9894,1.9312,0,T-H,0.0000,0.0000,1.3316,5.1216,1.3577,16235.0000,160.0000,
,1.8374,4.4486,2.0235,0,T-H,0.0000,0.0000,1.4101,4.8915,1.3861,16235.0000,160.0000,
,2.6162,5.0607,1.8283,0,T-H,0.0000,0.0000,1.6036,4.7237,1.3141,16260.0000,160.0000,
,3.2008,5.6991,2.0410,0,T-H,0.0000,0.0000,1.8516,4.6814,1.3355,16260.0000,160.0000,
,4.4195,6.4376,1.9897,0,T-H,0.0000,0.0000,2.2386,4.4040,1.3551,16260.0000,160.0000,
,5.1561,6.4991,2.0357,0,T-H,0.0000,0.0000,2.7472,4.3731,1.3787,16262.0000,160.0000,
,6.4327,6.6095,1.8844,0,T-H,0.0000,0.0000,3.2091,4.3451,1.3710,16262.0000,160.0000,
,6.4327,6.6095,1.8844,0,T-H,0.0000,0.0000,3.2091,4.3451,1.3710,16262.0000,160.0000,
