4.3-3.8-2.7UV,2.0492,2.1502,2.3416,0,T-H,0.0000,0.0000,1.1927,1.5384,1.3070,5500.0000,32.0000,
4.3-3.8-2.7UV,1.7560,2.0270,2.1128,0,T-H,0.0000,0.0000,1.1911,1.5495,1.2146,5502.0000,32.0000,
4.3-3.8-2.7UV,1.8959,2.2239,2.5790,0,T-H,0.0000,0.0000,1.1911,1.5473,1.2975,5502.0000,32.0000,
4.3-3.8-2.7UV,1.8862,2.3092,2.4533,0,T-H,0.0000,0.0000,1.1532,1.3844,1.2268,5502.0000,32.0000,
4.3-3.8-2.7UV,1.8554,2.4221,2.1508,0,T-H,0.0000,0.0000,1.1532,1.4365,1.2423,5500.0000,32.0000,
4.3-3.8-2.7UV,1.8554,2.5357,2.2598,0,T-H,0.0000,0.0000,1.1532,1.5749,1.2110,5500.0000,32.0000,
4.3-3.8-2.7UV,1.8820,2.6031,2.1214,0,T-H,0.0000,0.0000,1.2586,1.6128,1.2143,5500.0000,32.0000,
4.3-3.8-2.7UV,1.6847,2.7872,2.4704,0,T-H,0.0000,0.0000,1.2292,1.6441,1.4327,5500.0000,32.0000,
4.3-3.8-2.7UV,1.6847,2.4673,2.4704,0,T-H,0.0000,0.0000,1.1930,1.5035,1.4327,5500.0000,32.0000,
4.3-3.8-2.7UV,1.6018,2.3359,2.3894,0,T-H,0.0000,0.0000,1.1385,1.4600,1.4237,5500.0000,32.0000,
4.3-3.8-2.7UV,1.6581,2.5706,2.3825,0,T-H,0.0000,0.0000,1.1328,1.4173,1.4636,5502.0000,32.0000,
4.3-3.8-2.7UV,1.4795,2.4420,2.0085,0,T-H,0.0000,0.0000,0.9902,1.4489,1.3489,5502.0000,32.0000,
4.3-3.8-2.7UV,1.4731,2.2601,1.9688,0,T-H,0.0000,0.0000,0.9857,1.4257,1.3976,5502.0000,32.0000,
4.3-3.8-2.7UV,1.5632,2.5200,1.9386,0,T-H,0.0000,0.0000,1.0265,1.4744,1.3694,5502.0000,32.0000,
4.3-3.8-2.7UV,1.7113,2.6435,1.9888,0,T-H,0.0000,0.0000,1.0371,1.5544,1.3121,5506.0000,32.0000,
4.3-3.8-2.7UV,1.4875,2.3166,2.2273,0,T-H,0.0000,0.0000,0.9592,1.3860,1.3869,5506.0000,32.0000,
4.3-3.8-2.7UV,1.5113,2.2548,2.3746,0,T-H,0.0000,0.0000,0.9168,1.3860,1.3756,5506.0000,32.0000,
4.3-3.8-2.7UV,1.5087,2.1125,2.3887,0,T-H,0.0000,0.0000,0.9219,1.3524,1.3324,5506.0000,32.0000,
4.3-3.8-2.7UV,1.7523,2.1725,2.5090,0,T-H,0.0000,0.0000,0.9415,1.3694,1.3324,5504.0000,32.0000,
4.3-3.8-2.7UV,1.8584,2.4505,2.7498,0,T-H,0.0000,0.0000,1.0086,1.4391,1.4977,5504.0000,32.0000,
4.3-3.8-2.7UV,1.7682,2.3773,2.8058,0,T-H,0.0000,0.0000,0.9449,1.4140,1.4353,5504.0000,32.0000,
4.3-3.8-2.7UV,1.8155,2.3385,2.7557,0,T-H,0.0000,0.0000,0.9479,1.3789,1.4185,5502.0000,32.0000,
4.3-3.8-2.7UV,1.9231,2.3362,3.0678,0,T-H,0.0000,0.0000,1.0855,1.2909,1.6970,5502.0000,32.0000,
4.3-3.8-2.7UV,1.7451,2.0191,3.3171,0,T-H,0.0000,0.0000,1.0150,1.3494,1.7753,5502.0000,32.0000,
