1,2,3,4,5,6,7,8,9,10,11,12
157.9734,12.677,32.7993,0,T-H,0.0,0.0,47.56,14.4541,11.4638,5527.0,34.0
180.789,14.535,35.5966,0,T-H,0.0,0.0,52.448,15.629,12.3543,5527.0,34.0
226.3707,19.781,43.1899,0,T-H,0.0,0.0,64.3227,19.2544,14.9923,5527.0,34.0
236.787,22.5616,40.8104,0,T-H,0.0,0.0,63.7112,18.8583,14.7038,5547.0,34.0
236.741,23.2505,37.874,0,T-H,0.0,0.0,63.0516,19.1367,14.014,5547.0,34.0
236.0508,25.4218,33.5833,0,T-H,0.0,0.0,62.5327,19.0067,13.1833,5541.0,34.0
235.0706,28.0883,31.9166,0,T-H,0.0,0.0,61.9386,18.4884,12.7288,5541.0,34.0
229.8184,28.483,31.7555,0,T-H,0.0,0.0,60.5237,18.4884,12.6015,5541.0,34.0
225.836,29.1542,31.7555,0,T-H,0.0,0.0,59.7503,19.0989,12.5178,5541.0,34.0
226.1723,31.03,31.7555,0,T-H,0.0,0.0,59.7503,18.8493,12.5178,5541.0,34.0
228.5743,31.6916,31.8626,0,T-H,0.0,0.0,61.5275,18.8628,12.5375,5507.0,34.0
234.9057,35.3171,32.0073,0,T-H,0.0,0.0,63.4226,19.1682,12.4767,5507.0,34.0
241.1135,35.5711,33.1878,0,T-H,0.0,0.0,64.9143,19.1682,12.7733,5507.0,34.0
246.744,37.5391,34.1339,0,T-H,0.0,0.0,67.323,18.4871,13.0751,5506.0,34.0
247.1974,37.1933,36.2523,0,T-H,0.0,0.0,67.3047,18.4802,13.289,5506.0,34.0
250.3879,37.1933,36.9184,0,T-H,0.0,0.0,68.2437,18.6215,13.4272,5506.0,34.0
253.9819,37.1933,36.7155,0,T-H,0.0,0.0,69.4061,18.9445,13.4779,5506.0,34.0
263.6376,38.983,35.9844,0,T-H,0.0,0.0,71.7597,18.2823,13.1271,5547.0,34.0
272.0757,40.6921,35.9844,0,T-H,0.0,0.0,74.2758,19.142,13.3117,5547.0,34.0
277.3066,43.892,34.659,0,T-H,0.0,0.0,74.5305,18.4478,12.8237,5547.0,34.0
277.3066,46.9732,32.5263,0,T-H,0.0,0.0,74.5305,17.9451,12.2385,5547.0,34.0
274.2624,47.8603,30.379,0,T-H,0.0,0.0,74.0464,18.1704,11.526,5547.0,34.0
259.4047,40.6437,27.0653,0,T-H,0.0,0.0,69.889,18.7277,10.4325,5578.0,34.0
248.539,37.6914,25.7647,0,T-H,0.0,0.0,67.2807,19.0155,10.0427,5578.0,34.0
238.54,37.0047,24.7516,0,T-H,0.0,0.0,64.9632,18.943,9.5614,5578.0,34.0
234.4441,35.5525,24.7516,0,T-H,0.0,0.0,63.6863,19.7503,9.4892,5512.0,34.0
237.1425,35.3644,24.7516,0,T-H,0.0,0.0,64.4662,19.6508,9.4892,5512.0,34.0
234.5761,34.4935,24.3595,0,T-H,0.0,0.0,63.5878,20.1396,9.3241,5512.0,34.0
226.0319,28.2137,24.9166,0,T-H,0.0,0.0,62.1969,20.6777,9.4227,5512.0,34.0
222.9334,25.0989,25.5683,0,T-H,0.0,0.0,61.2201,21.2009,9.5735,5507.0,34.0
218.4972,22.2298,25.8431,0,T-H,0.0,0.0,61.5921,21.0373,9.347,5507.0,34.0
205.6607,18.3213,26.9763,0,T-H,0.0,0.0,59.2278,20.8636,9.7313,5507.0,34.0
204.967,17.357,28.5209,0,T-H,0.0,0.0,60.6413,21.0977,10.1121,5523.0,34.0
205.1635,18.5156,28.5209,0,T-H,0.0,0.0,60.5307,20.8856,10.1121,5523.0,34.0
205.9078,16.5092,29.5855,0,T-H,0.0,0.0,61.67,20.8856,10.4401,5523.0,34.0
205.9287,16.9561,30.1007,0,T-H,0.0,0.0,61.7149,20.8393,10.4092,5523.0,34.0
188.1966,12.9421,28.441,0,T-H,0.0,0.0,56.9527,20.9402,10.091,5509.0,34.0
188.1966,12.9421,27.9175,0,T-H,0.0,0.0,56.9527,20.9402,9.6977,5509.0,34.0
188.1288,12.9421,27.9175,0,T-H,0.0,0.0,56.7729,20.9402,9.6977,5509.0,34.0
186.8266,13.7444,27.9332,0,T-H,0.0,0.0,56.5652,20.8273,9.728,5528.0,34.0
185.827,13.5782,28.7751,0,T-H,0.0,0.0,56.5652,21.057,10.0065,5528.0,34.0
187.8262,14.3579,29.5671,0,T-H,0.0,0.0,57.2878,21.0229,10.5816,5528.0,34.0
